UniqueID,Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (degC),Program Used 0/1,Mass CO2 Used (lbs),Extraction Efficiency THC,Extraction Efficiency CBD,Extraction Efficiency CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent % (as is) THC,Spent % (as is) CBD,Spent % (as is) CBN,Decarb % (as is) THC,Decarb % (as is) CBD,Decarb % (as is) CBN
301,SK ,0,1028,7,145,1,5000,65,1,70,0.94,1,0.8676,1409.5,1215.5,0.1376,0.8758,0,0.018,14.591,0.229,0.136
302,SK ,0,1028,8,145,2,5000,65,1,70,0.9532,1,0.8596,1424,1247,0.1243,0.6826,0,0.0191,14.591,0.229,0.136
303,SK ,0,1028,9,150,1,5000,65,1,70,0.9941,1,0.7647,1466,1206,0.1774,0.086,0,0.032,14.591,0.229,0.136
304,SK ,0,1028,10,150,2,5000,65,1,70,0.9972,1,0.5368,1313,1096,0.1653,0.041,0,0.063,14.591,0.229,0.136
309,SK ,0,1029,4,160,2,5000,65,1,80,0.9771,1,0.9371,1452,1131,0.2211,0.351,0,0.01,15.303,0.035,0.159
310,SK ,0,1029,5,160,1,5000,65,1,80,0.917,1,0.8302,1492,1202,0.1944,1.27,0,0.027,15.303,0.035,0.159
311,SK ,0,1029,6,160,2,5000,65,1,80,0.9516,1,0.8679,1428.5,1166.5,0.1834,0.741,0,0.021,15.303,0.035,0.159
312,SK ,0,1029,7,160,1,5000,65,1,80,0.9703,1,0.9182,1328.5,1066,0.1976,0.455,0,0.013,15.303,0.035,0.159
313,BW,1,1037,1,115,1,5000,65,1,60,0.9462,0.9836,1,1608.5,1258.5,0.2176,0.3384,0.1755,0,6.294,10.727,0.065
314,BW,1,1037,2,110,2,5000,65,1,60,0.9666,0.9842,1,1627,1240,0.2379,0.2101,0.17,0,6.294,10.727,0.065
315,BW,1,1037,3,120,1,5000,65,1,61.5,0.96,0.9803,1,1581.5,1223.5,0.2264,0.252,0.2109,0,6.294,10.727,0.065
316,BW,1,1037,4,125,2,5000,65,1,55.5,0.934,0.9699,1,1660,1293.5,0.2208,0.4156,0.3229,0,6.294,10.727,0.065
317,BW,1,1037,5,100,1,5000,65,1,55,0.9196,0.9631,1,1528,1196,0.2173,0.5061,0.3954,0,6.294,10.727,0.065
318,BW,1,1037,6,95,2,5000,65,1,50,0.9481,0.9767,1,1498.5,1161,0.2252,0.3269,0.2496,0,6.294,10.727,0.065
319,BW,1,1035,1,90,1,5000,65,1,50,0.8965,0.9568,0.6721,1624,1327,0.1829,0.623,0.439,0.02,6.018,10.155,0.061
320,BW,1,1035,2,130,2,5000,65,1,65.5,0.8252,0.9201,0.5246,1651,1339,0.189,1.052,0.811,0.029,6.018,10.155,0.061
321,BW,1,1035,3,90,1,5000,65,1,50,0.9523,0.9771,0.8197,1607.5,1253.5,0.2202,0.287,0.233,0.011,6.018,10.155,0.061
322,BW,1,1035,4,90,2,5000,65,1,50,0.9497,0.9746,0.8197,1618,1313,0.1885,0.303,0.258,0.011,6.018,10.155,0.061
323,BW,1,1035,5,130,1,5000,65,1,66,0.8234,0.9163,0.5574,1608,1310,0.1853,1.063,0.85,0.027,6.018,10.155,0.061
324,BW,1,1035,6,95,2,5000,65,1,50.5,0.9337,0.9704,0.8197,1595.5,1265.5,0.2068,0.399,0.301,0.011,6.018,10.155,0.061
325,BW,1,1035,7,120,1,5000,65,1,55,0.9526,0.9813,1,1590,1221,0.2321,0.285,0.19,0,6.018,10.155,0.061
326,BW,1,1035,8,100,2,5000,65,1,52,0.9355,0.9692,0.8033,1621.5,1324.5,0.1832,0.388,0.313,0.012,6.018,10.155,0.061
327,BW,1,1035,9,100,1,5000,65,1,50,0.8048,0.9192,0.3115,1662,1329.5,0.2001,1.175,0.821,0.042,6.018,10.155,0.061
328,BW,1,1035,10,120,2,5000,65,1,56.5,0.9907,0.9924,1,1537,1222,0.2049,0.056,0.077,0,6.018,10.155,0.061
329,HB,0,1086,1,105,1,5000,65,1,65,0.9546,1,0.8992,1538,1297,0.1567,0.461,0,0.049,10.1589,0.0308,0.4862
330,HB,0,1086,2,110,2,5000,65,1,60,0.9544,1,0.9095,1538,1307.5,0.1499,0.463,0,0.044,10.1589,0.0308,0.4862
331,HB,0,1086,3,130,1,5000,65,1,60,0.9307,1,0.8725,1530.5,1311,0.1434,0.704,0,0.062,10.1589,0.0308,0.4862
332,HB,0,1086,4,105,2,5000,65,1,55,0.9214,1,0.854,1542,1311.5,0.1495,0.798,0,0.071,10.1589,0.0308,0.4862
333,HB,0,1086,5,100,1,5000,65,1,56,0.9044,1,0.8149,1542,1303.5,0.1547,0.971,0,0.09,10.1589,0.0308,0.4862
334,HB,0,1086,6,100,2,5000,65,1,60.5,0.9051,1,0.819,1539.5,1378.5,0.1046,0.964,0,0.088,10.1589,0.0308,0.4862
335,HB,0,1086,7,115,1,5000,65,1,81,0.9758,1,0.9527,1539.5,1280,0.1686,0.246,0,0.023,10.1589,0.0308,0.4862
336,HB,0,1086,8,125,2,5000,65,1,60,0.9758,1,0.9445,1542.5,1306,0.1533,0.246,0,0.027,10.1589,0.0308,0.4862
337,HB,0,1086,9,100,1,5000,65,1,60,0.833,1,0.7326,1473.5,177,0.8799,1.697,0,0.13,10.1589,0.0308,0.4862
338,HB,0,1082,1,100,1,5000,65,1,55,0.9523,1,1,1447,1240,0.1431,0.444,0,0,9.312,0.021,0.144
339,HB,0,1082,2,110,2,5000,65,1,55.5,0.8875,1,0.7153,1407,1238,0.1201,1.048,0,0.041,9.312,0.021,0.144
340,HB,0,1082,3,100,1,5000,65,1,58,0.9609,1,1,1400,1215.5,0.1318,0.364,0,0,9.312,0.021,0.144
341,HB,0,1082,4,100,2,5000,65,1,58,0.9637,1,1,1407,1209,0.1407,0.338,0,0,9.312,0.021,0.144
342,HB,0,1082,5,95,1,5000,65,1,55,0.9344,1,1,1456.5,1258,0.1363,0.611,0,0,9.312,0.021,0.144
343,HB,0,1082,6,110,2,5000,65,1,65.5,0.9606,1,1,1060,848,0.2,0.367,0,0,9.312,0.021,0.144
344,SB,0,1014,1,140,1,5000,65,1,80,0.9591,1,0.879,1504.5,1197,0.2044,0.602,0,0.045,14.708,0.047,0.372
345,SB,0,1014,2,140,2,5000,65,1,80,0.9541,1,0.8817,1442.5,1139.5,0.2101,0.675,0,0.044,14.708,0.047,0.372
346,SB,0,1014,3,150,1,5000,65,1,81,0.9821,1,0.9489,1455,1133.5,0.221,0.264,0,0.019,14.708,0.047,0.372
347,SB,0,1014,4,165,2,5000,65,1,90,0.9958,1,0.9868,1450,1125,0.2241,0.062,0,0.0049,14.708,0.047,0.372
350,SB,0,1014,7,145,1,5000,65,1,80,0.9595,1,0.8898,1503.5,1172,0.2205,0.596,0,0.041,14.708,0.047,0.372
351,SB,0,1014,8,120,2,5000,65,1,70,0.9775,1,0.9102,1119.5,963,0.1398,0.331,0,0.0334,14.708,0.047,0.372
352,HB,0,1019,1,125,1,5000,65,1,70,0.9928,1,1,1657,1381,0.1666,0.087,0,0,12.076,0.029,0.239
354,HB,0,1019,3,125,1,5000,65,1,70,0.9941,1,0.6611,1592,1322.5,0.1693,0.071,0,0.081,12.076,0.029,0.239
355,HB,0,1019,4,115,2,5000,65,1,65,0.9794,1,1,1573,1336,0.1507,0.249,0,0,12.076,0.029,0.239
356,HB,0,1019,5,115,1,5000,65,1,65,0.9724,1,1,1552,1287,0.1707,0.333,0,0,12.076,0.029,0.239
357,HB,0,1019,6,120,2,5000,65,1,65.5,0.9777,1,1,1451,1205,0.1695,0.269,0,0,12.076,0.029,0.239
358,HB,0,1016,1,110,1,5000,65,1,60,0.8841,1,-1.3125,1589.5,1370,0.1381,1.453,0,0.074,12.534,0.032,0.032
359,HB,0,1016,2,115,2,5000,65,1,60,0.9625,1,0,1618,1391.5,0.14,0.47,0,0.032,12.534,0.032,0.032
360,HB,0,1016,3,120,1,5000,65,1,60,0.9793,1,0.2188,1603.5,1373.5,0.1434,0.26,0,0.025,12.534,0.032,0.032
367,HB,0,1016,10,100,1,5000,65,1,62,0.866,1,-1.7813,1000.5,838,0.1624,1.68,0,0.089,12.534,0.032,0.032
368,HB,0,1016,11,100,2,5000,65,1,59,0.7853,1,-2.4375,976.5,849,0.1306,2.691,0,0.11,12.534,0.032,0.032
